frame,mask
260,0x0000
261,0x0000
262,0x0000
263,0x0000
264,0x0000
265,0x0000
266,0x0000
267,0x0000
268,0x0000
269,0x0000
270,0x0000
271,0x0000
272,0x0000
273,0x0000
274,0x0000
275,0x0000
276,0x0000
277,0x0000
278,0x0000
279,0x0000
280,0x0000
281,0x0000
282,0x0000
283,0x0000
284,0x0000
285,0x0000
286,0x0000
287,0x0000
288,0x0000
289,0x0000
290,0x0000
291,0x0000
292,0x0000
293,0x0000
294,0x0000
295,0x0000
296,0x0000
297,0x0000
298,0x0000
299,0x0000
300,0x0008
301,0x0008
302,0x0008
303,0x0008
304,0x0008
305,0x0000
306,0x0000
307,0x0000
308,0x0000
309,0x0000
310,0x0000
311,0x0000
312,0x0000
313,0x0000
314,0x0000
315,0x0000
316,0x0000
317,0x0000
318,0x0000
319,0x0000
320,0x0000
321,0x0000
322,0x0000
323,0x0000
324,0x0000
325,0x0000
326,0x0000
327,0x0000
328,0x0000
329,0x0000
330,0x0000
331,0x0000
332,0x0000
333,0x0000
334,0x0000
335,0x0000
336,0x0000
337,0x0000
338,0x0000
339,0x0000
340,0x0000
341,0x0000
342,0x0000
343,0x0000
344,0x0000
345,0x0000
346,0x0000
347,0x0000
348,0x0000
349,0x0000
350,0x0000
351,0x0000
352,0x0000
353,0x0000
354,0x0000
355,0x0000
356,0x0000
357,0x0000
358,0x0000
359,0x0000
360,0x0000
361,0x0000
362,0x0000
363,0x0000
364,0x0000
365,0x0000
366,0x0000
367,0x0000
368,0x0000
369,0x0000
370,0x0000
371,0x0000
372,0x0000
373,0x0000
374,0x0000
375,0x0000
376,0x0000
377,0x0000
378,0x0000
379,0x0000
380,0x0000
381,0x0000
382,0x0000
383,0x0000
384,0x0000
385,0x0000
386,0x0000
387,0x0000
388,0x0000
389,0x0000
390,0x0008
391,0x0008
392,0x0008
393,0x0008
394,0x0008
395,0x0000
396,0x0000
397,0x0000
398,0x0000
399,0x0000
400,0x0000
401,0x0000
402,0x0000
403,0x0000
404,0x0000
405,0x0000
406,0x0000
407,0x0000
408,0x0000
409,0x0000
410,0x0000
411,0x0000
412,0x0000
413,0x0000
414,0x0000
415,0x0000
416,0x0000
417,0x0000
418,0x0000
419,0x0000
420,0x0000
421,0x0000
422,0x0000
423,0x0000
424,0x0000
425,0x0000
426,0x0000
427,0x0000
428,0x0000
429,0x0000
430,0x0000
431,0x0000
432,0x0000
433,0x0000
434,0x0000
435,0x0000
436,0x0000
437,0x0000
438,0x0000
439,0x0000
440,0x0000
441,0x0000
442,0x0000
443,0x0000
444,0x0000
445,0x0000
446,0x0000
447,0x0000
448,0x0000
449,0x0000
450,0x0000
451,0x0000
452,0x0000
453,0x0000
454,0x0000
455,0x0000
456,0x0000
457,0x0000
458,0x0000
459,0x0000
460,0x0000
461,0x0000
462,0x0000
463,0x0000
464,0x0000
465,0x0000
466,0x0000
467,0x0000
468,0x0000
469,0x0000
470,0x0000
471,0x0000
472,0x0000
473,0x0000
474,0x0000
475,0x0000
476,0x0000
477,0x0000
478,0x0000
479,0x0000
480,0x0008
481,0x0008
482,0x0008
483,0x0008
484,0x0008
485,0x0000
486,0x0000
487,0x0000
488,0x0000
489,0x0000
490,0x0000
491,0x0000
492,0x0000
493,0x0000
494,0x0000
495,0x0000
496,0x0000
497,0x0000
498,0x0000
499,0x0000
500,0x0000
501,0x0000
502,0x0000
503,0x0000
504,0x0000
505,0x0000
506,0x0000
507,0x0000
508,0x0000
509,0x0000
510,0x0000
511,0x0000
512,0x0000
513,0x0000
514,0x0000
515,0x0000
516,0x0000
517,0x0000
518,0x0000
519,0x0000
520,0x0000
521,0x0000
522,0x0000
523,0x0000
524,0x0000
525,0x0000
526,0x0000
527,0x0000
528,0x0000
529,0x0000
530,0x0000
531,0x0000
532,0x0000
533,0x0000
534,0x0000
535,0x0000
536,0x0000
537,0x0000
538,0x0000
539,0x0000
540,0x0000
541,0x0000
542,0x0000
543,0x0000
544,0x0000
545,0x0000
546,0x0000
547,0x0000
548,0x0000
549,0x0000
550,0x0000
551,0x0000
552,0x0000
553,0x0000
554,0x0000
555,0x0000
556,0x0000
557,0x0000
558,0x0000
559,0x0000
560,0x0000
561,0x0000
562,0x0000
563,0x0000
564,0x0000
565,0x0000
566,0x0000
567,0x0000
568,0x0000
569,0x0000
570,0x0008
571,0x0008
572,0x0008
573,0x0008
574,0x0008
575,0x0000
576,0x0000
577,0x0000
578,0x0000
579,0x0000
580,0x0000
581,0x0000
582,0x0000
583,0x0000
584,0x0000
585,0x0000
586,0x0000
587,0x0000
588,0x0000
589,0x0000
590,0x0000
591,0x0000
592,0x0000
593,0x0000
594,0x0000
595,0x0000
596,0x0000
597,0x0000
598,0x0000
599,0x0000
600,0x0000
601,0x0000
602,0x0000
603,0x0000
604,0x0000
605,0x0000
606,0x0000
607,0x0000
608,0x0000
609,0x0000
610,0x0000
611,0x0000
612,0x0000
613,0x0000
614,0x0000
615,0x0000
616,0x0000
617,0x0000
618,0x0000
619,0x0000
620,0x0000
621,0x0000
622,0x0000
623,0x0000
624,0x0000
625,0x0000
626,0x0000
627,0x0000
628,0x0000
629,0x0000
630,0x0000
631,0x0000
632,0x0000
633,0x0000
634,0x0000
635,0x0000
636,0x0000
637,0x0000
638,0x0000
639,0x0000
640,0x0000
641,0x0000
642,0x0000
643,0x0000
644,0x0000
645,0x0000
646,0x0000
647,0x0000
648,0x0000
649,0x0000
650,0x0000
651,0x0000
652,0x0000
653,0x0000
654,0x0000
655,0x0000
656,0x0000
657,0x0000
658,0x0000
659,0x0000
660,0x0008
661,0x0008
662,0x0008
663,0x0008
664,0x0008
665,0x0000
666,0x0000
667,0x0000
668,0x0000
669,0x0000
670,0x0000
671,0x0000
672,0x0000
673,0x0000
674,0x0000
675,0x0000
676,0x0000
677,0x0000
678,0x0000
679,0x0000
680,0x0000
681,0x0000
682,0x0000
683,0x0000
684,0x0000
685,0x0000
686,0x0000
687,0x0000
688,0x0000
689,0x0000
690,0x0000
691,0x0000
692,0x0000
693,0x0000
694,0x0000
695,0x0000
696,0x0000
697,0x0000
698,0x0000
699,0x0000
700,0x0000
701,0x0000
702,0x0000
703,0x0000
704,0x0000
705,0x0000
706,0x0000
707,0x0000
708,0x0000
709,0x0000
710,0x0000
711,0x0000
712,0x0000
713,0x0000
714,0x0000
715,0x0000
716,0x0000
717,0x0000
718,0x0000
719,0x0000
720,0x0000
721,0x0000
722,0x0000
723,0x0000
724,0x0000
725,0x0000
726,0x0000
727,0x0000
728,0x0000
729,0x0000
730,0x0000
731,0x0000
732,0x0000
733,0x0000
734,0x0000
735,0x0000
736,0x0000
737,0x0000
738,0x0000
739,0x0000
740,0x0000
741,0x0000
742,0x0000
743,0x0000
744,0x0000
745,0x0000
746,0x0000
747,0x0000
748,0x0000
749,0x0000
750,0x0008
751,0x0008
752,0x0008
753,0x0008
754,0x0008
755,0x0000
756,0x0000
757,0x0000
758,0x0000
759,0x0000
760,0x0000
761,0x0000
762,0x0000
763,0x0000
764,0x0000
765,0x0000
766,0x0000
767,0x0000
768,0x0000
769,0x0000
770,0x0000
771,0x0000
772,0x0000
773,0x0000
774,0x0000
775,0x0000
776,0x0000
777,0x0000
778,0x0000
779,0x0000
780,0x0000
781,0x0000
782,0x0000
783,0x0000
784,0x0000
785,0x0000
786,0x0000
787,0x0000
788,0x0000
789,0x0000
790,0x0000
791,0x0000
792,0x0000
793,0x0000
794,0x0000
795,0x0000
796,0x0000
797,0x0000
798,0x0000
799,0x0000
800,0x0000
801,0x0000
802,0x0000
803,0x0000
804,0x0000
805,0x0000
806,0x0000
807,0x0000
808,0x0000
809,0x0000
810,0x0000
811,0x0000
812,0x0000
813,0x0000
814,0x0000
815,0x0000
816,0x0000
817,0x0000
818,0x0000
819,0x0000
820,0x0000
821,0x0000
822,0x0000
823,0x0000
824,0x0000
825,0x0000
826,0x0000
827,0x0000
828,0x0000
829,0x0000
830,0x0000
831,0x0000
832,0x0000
833,0x0000
834,0x0000
835,0x0000
836,0x0000
837,0x0000
838,0x0000
839,0x0000
840,0x0008
841,0x0008
842,0x0008
843,0x0008
844,0x0008
845,0x0000
846,0x0000
847,0x0000
848,0x0000
849,0x0000
850,0x0000
851,0x0000
852,0x0000
853,0x0000
854,0x0000
855,0x0000
856,0x0000
857,0x0000
858,0x0000
859,0x0000
860,0x0000
861,0x0000
862,0x0000
863,0x0000
864,0x0000
865,0x0000
866,0x0000
867,0x0000
868,0x0000
869,0x0000
870,0x0000
871,0x0000
872,0x0000
873,0x0000
874,0x0000
875,0x0000
876,0x0000
877,0x0000
878,0x0000
879,0x0000
880,0x0000
881,0x0000
882,0x0000
883,0x0000
884,0x0000
885,0x0000
886,0x0000
887,0x0000
888,0x0000
889,0x0000
890,0x0000
891,0x0000
892,0x0000
893,0x0000
894,0x0000
895,0x0000
896,0x0000
897,0x0000
898,0x0000
899,0x0000
900,0x0000
901,0x0000
902,0x0000
903,0x0000
904,0x0000
905,0x0000
906,0x0000
907,0x0000
908,0x0000
909,0x0000
910,0x0000
911,0x0000
912,0x0000
913,0x0000
914,0x0000
915,0x0000
916,0x0000
917,0x0000
918,0x0000
919,0x0000
920,0x0000
921,0x0000
922,0x0000
923,0x0000
924,0x0000
925,0x0000
926,0x0000
927,0x0000
928,0x0000
929,0x0000
930,0x0008
931,0x0008
932,0x0008
933,0x0008
934,0x0008
935,0x0000
936,0x0000
937,0x0000
938,0x0000
939,0x0000
940,0x0000
941,0x0000
942,0x0000
943,0x0000
944,0x0000
945,0x0000
946,0x0000
947,0x0000
948,0x0000
949,0x0000
950,0x0000
951,0x0000
952,0x0000
953,0x0000
954,0x0000
955,0x0000
956,0x0000
957,0x0000
958,0x0000
959,0x0000
960,0x0000
961,0x0000
962,0x0000
963,0x0000
964,0x0000
965,0x0000
966,0x0000
967,0x0000
968,0x0000
969,0x0000
970,0x0000
971,0x0000
972,0x0000
973,0x0000
974,0x0000
975,0x0000
976,0x0000
977,0x0000
978,0x0000
979,0x0000
980,0x0000
981,0x0000
982,0x0000
983,0x0000
984,0x0000
985,0x0000
986,0x0000
987,0x0000
988,0x0000
989,0x0000
990,0x0000
991,0x0000
992,0x0000
993,0x0000
994,0x0000
995,0x0000
996,0x0000
997,0x0000
998,0x0000
999,0x0000
1000,0x0000
1001,0x0000
1002,0x0000
1003,0x0000
1004,0x0000
1005,0x0000
1006,0x0000
1007,0x0000
1008,0x0000
1009,0x0000
1010,0x0000
1011,0x0000
1012,0x0000
1013,0x0000
1014,0x0000
1015,0x0000
1016,0x0000
1017,0x0000
1018,0x0000
1019,0x0000
1020,0x0008
1021,0x0008
1022,0x0008
1023,0x0008
1024,0x0008
1025,0x0000
1026,0x0000
1027,0x0000
1028,0x0000
1029,0x0000
1030,0x0000
1031,0x0000
1032,0x0000
1033,0x0000
1034,0x0000
1035,0x0000
1036,0x0000
1037,0x0000
1038,0x0000
1039,0x0000
1040,0x0000
1041,0x0000
1042,0x0000
1043,0x0000
1044,0x0000
1045,0x0000
1046,0x0000
1047,0x0000
1048,0x0000
1049,0x0000
1050,0x0000
1051,0x0000
1052,0x0000
1053,0x0000
1054,0x0000
1055,0x0000
1056,0x0000
1057,0x0000
1058,0x0000
1059,0x0000
1060,0x0000
1061,0x0000
1062,0x0000
1063,0x0000
1064,0x0000
1065,0x0000
1066,0x0000
1067,0x0000
1068,0x0000
1069,0x0000
1070,0x0000
1071,0x0000
1072,0x0000
1073,0x0000
1074,0x0000
1075,0x0000
1076,0x0000
1077,0x0000
1078,0x0000
1079,0x0000
1080,0x0000
1081,0x0000
1082,0x0000
1083,0x0000
1084,0x0000
1085,0x0000
1086,0x0000
1087,0x0000
1088,0x0000
1089,0x0000
1090,0x0000
1091,0x0000
1092,0x0000
1093,0x0000
1094,0x0000
1095,0x0000
1096,0x0000
1097,0x0000
1098,0x0000
1099,0x0000
1100,0x0000
1101,0x0000
1102,0x0000
1103,0x0000
1104,0x0000
1105,0x0000
1106,0x0000
1107,0x0000
1108,0x0000
1109,0x0000
1110,0x0008
1111,0x0008
1112,0x0008
1113,0x0008
1114,0x0008
1115,0x0000
1116,0x0000
1117,0x0000
1118,0x0000
1119,0x0000
1120,0x0000
1121,0x0000
1122,0x0000
1123,0x0000
1124,0x0000
1125,0x0000
1126,0x0000
1127,0x0000
1128,0x0000
1129,0x0000
1130,0x0000
1131,0x0000
1132,0x0000
1133,0x0000
1134,0x0000
1135,0x0000
1136,0x0000
1137,0x0000
1138,0x0000
1139,0x0000
1140,0x0000
1141,0x0000
1142,0x0000
1143,0x0000
1144,0x0000
1145,0x0000
1146,0x0000
1147,0x0000
1148,0x0000
1149,0x0000
1150,0x0000
1151,0x0000
1152,0x0000
1153,0x0000
1154,0x0000
1155,0x0000
1156,0x0000
1157,0x0000
1158,0x0000
1159,0x0000
1160,0x0000
1161,0x0000
1162,0x0000
1163,0x0000
1164,0x0000
1165,0x0000
1166,0x0000
1167,0x0000
1168,0x0000
1169,0x0000
1170,0x0000
1171,0x0000
1172,0x0000
1173,0x0000
1174,0x0000
1175,0x0000
1176,0x0000
1177,0x0000
1178,0x0000
1179,0x0000
1180,0x0000
1181,0x0000
1182,0x0000
1183,0x0000
1184,0x0000
1185,0x0000
1186,0x0000
1187,0x0000
1188,0x0000
1189,0x0000
1190,0x0000
1191,0x0000
1192,0x0000
1193,0x0000
1194,0x0000
1195,0x0000
1196,0x0000
1197,0x0000
1198,0x0000
1199,0x0000
1200,0x0100
1201,0x0100
1202,0x0100
1203,0x0100
1204,0x0100
1205,0x0100
1206,0x0100
1207,0x0100
1208,0x0100
1209,0x0100
1210,0x0100
1211,0x0100
1212,0x0100
1213,0x0100
1214,0x0100
1215,0x0100
1216,0x0100
1217,0x0100
1218,0x0100
1219,0x0100
1220,0x0100
1221,0x0100
1222,0x0100
1223,0x0100
1224,0x0100
1225,0x0100
1226,0x0100
1227,0x0100
1228,0x0100
1229,0x0100
1230,0x0100
1231,0x0100
1232,0x0100
1233,0x0100
1234,0x0100
1235,0x0100
1236,0x0100
1237,0x0100
1238,0x0100
1239,0x0100
1240,0x0100
1241,0x0100
1242,0x0100
1243,0x0100
1244,0x0100
1245,0x0100
1246,0x0100
1247,0x0100
1248,0x0100
1249,0x0100
1250,0x0100
1251,0x0100
1252,0x0100
1253,0x0100
1254,0x0100
1255,0x0100
1256,0x0100
1257,0x0100
1258,0x0100
1259,0x0100
1260,0x0100
1261,0x0100
1262,0x0100
1263,0x0100
1264,0x0100
1265,0x0100
1266,0x0100
1267,0x0100
1268,0x0100
1269,0x0100
1270,0x0100
1271,0x0100
1272,0x0100
1273,0x0100
1274,0x0100
1275,0x0100
1276,0x0100
1277,0x0100
1278,0x0100
1279,0x0100
1280,0x0100
1281,0x0100
1282,0x0100
1283,0x0100
1284,0x0100
1285,0x0100
1286,0x0100
1287,0x0100
1288,0x0100
1289,0x0100
1290,0x0100
1291,0x0100
1292,0x0100
1293,0x0100
1294,0x0100
1295,0x0100
1296,0x0100
1297,0x0100
1298,0x0100
1299,0x0100
1300,0x0100
1301,0x0100
1302,0x0100
1303,0x0100
1304,0x0100
1305,0x0100
1306,0x0100
1307,0x0100
1308,0x0100
1309,0x0100
1310,0x0100
1311,0x0100
1312,0x0100
1313,0x0100
1314,0x0100
1315,0x0100
1316,0x0100
1317,0x0100
1318,0x0100
1319,0x0100
1320,0x0100
1321,0x0100
1322,0x0100
1323,0x0100
1324,0x0100
1325,0x0100
1326,0x0100
1327,0x0100
1328,0x0100
1329,0x0100
1330,0x0100
1331,0x0100
1332,0x0100
1333,0x0100
1334,0x0100
1335,0x0100
1336,0x0100
1337,0x0100
1338,0x0100
1339,0x0100
